,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
49,wv,smoothed_anxious_5d,2021-01-03,2021-01-08,5,19.5250355,0.7598879,2721.1569,state,fb-survey
50,wy,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.1821024,1.301904,759.7339,state,fb-survey
0,ak,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.7253521,1.2793202,851.0,state,fb-survey
1,al,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.3764356,0.5530012,4478.1212,state,fb-survey
2,ar,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.880071,0.6872002,3243.1324,state,fb-survey
3,az,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.8505293,0.4755517,6195.5181,state,fb-survey
4,ca,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.6751139,0.2238112,27738.2972,state,fb-survey
5,co,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.5802123,0.4964999,5610.749,state,fb-survey
6,ct,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.2025601,0.5522422,4452.0,state,fb-survey
7,dc,smoothed_anxious_5d,2021-01-04,2021-01-09,5,14.8550725,1.7500149,413.0,state,fb-survey
8,de,smoothed_anxious_5d,2021-01-04,2021-01-09,5,14.7058824,0.9547636,1376.0,state,fb-survey
9,fl,smoothed_anxious_5d,2021-01-04,2021-01-09,5,14.6843626,0.2586748,18723.0017,state,fb-survey
10,ga,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.7838088,0.4362689,6983.9129,state,fb-survey
11,hi,smoothed_anxious_5d,2021-01-04,2021-01-09,5,12.700661,1.0237073,1058.0,state,fb-survey
12,ia,smoothed_anxious_5d,2021-01-04,2021-01-09,5,13.6655924,0.5412632,4027.1276,state,fb-survey
13,id,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.5969309,0.7871764,2124.4829,state,fb-survey
14,il,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.1157444,0.3305961,12369.0206,state,fb-survey
